Phenotype,AL_Slope,AL_SE,1D_Slope,1D_SE,2D_Slope,2D_SE,20_Slope,20_SE,40_Slope,40_SE,DietAge_FTestStat,DietAge_FTestNumDF,DietAge_FTestDenDF,DietAge_FTestScaling,DietAge_FTestPValue,DietAge_PairwiseDifferences
RDWcv,0.005468628562896488,0.0010876199657122235,0.005389050257153075,0.0010412549090342937,0.0047695955534114865,0.0010226381654014753,0.006550693602301164,0.0010090328541662137,0.0031478608450404787,9.74278781215987e-4,1.5765971365558755,4,380.26218097843827,0.9968998730882702,0.17979852101898075,NA
HDWcv,0.011596952678078688,0.0024149688719516216,0.01096224279678596,0.002395216197347137,0.011104336759831187,0.0023896262285096094,0.011437007420029637,0.0023834009127234987,0.008171954723591671,0.0022792684810498194,2.4705980034879396,4,814.1171439039508,0.999914960029011,0.043301819379425344,
NumWBC,-6.029654111934025e-4,0.006516077041097766,0.008387492858138357,0.006368419615983315,0.003182861838611868,0.006316939925312375,0.0014317457723170294,0.006272987009821903,-0.021272926632605545,0.00571312285789267,7.199993737088373,4,666.1385478165969,0.9991878044041699,1.116699651092728e-5,AL-40:1D-40:2D-40:20-40
NumLymph,-0.014734210054503533,0.006980327355587738,6.120254946617621e-6,0.006801169614645793,-0.0063039330711657715,0.00673525714222452,-0.005948745833307906,0.006681298683856709,-0.03455609073871059,0.006087347478388161,7.460828084279304,4,608.5979449523902,0.9988627500323042,7.17822161462174e-6,1D-40:2D-40:20-40
NumNeut,0.026344367200446504,0.006051496077477797,0.03968674311967935,0.005880420059223859,0.04156335439979769,0.005816409136744282,0.014882670638140007,0.005765584205445531,0.012741485124970536,0.0052643185729371895,6.622195349291318,4,558.7378714638679,0.9985576370169384,3.2748301661220104e-5,1D-20:1D-40:2D-20:2D-40
NumMono,0.01735603962346947,0.008454970672044442,0.012040510149774981,0.008310326558593989,0.023864872461454877,0.008265042622654142,0.017844363155360702,0.008223441005136008,-7.666155975188536e-4,0.007572281462625802,4.175987358599838,4,745.3834915243046,0.9996082831582624,0.002372175178639342,2D-40
NumEos,0.004005930578399973,0.006883882793768009,-0.009277112748723374,0.006684660447910711,-0.006971321727778888,0.006617592232628362,-0.007365887931502707,0.006550002475928939,-0.004844479852270146,0.006004817717999727,0.7523317549558501,4,545.723529837892,0.9984583824287521,0.5567295727253668,NA
NLR,0.041515859581817006,0.006010199128547289,0.03696048955046001,0.005786887222081287,0.04440137570820185,0.0056916228844337375,0.021985396298709464,0.0056222729765852825,0.04573845839565971,0.005356576760929724,3.1091728399131733,4,415.75750652539307,0.9972991658859984,0.015361860722347905,2D-20:20-40
PercLymph,-0.03966459382815173,0.005525002236682785,-0.029492531562081453,0.00530290705117128,-0.03654684725578087,0.005208592556559978,-0.01959024285627495,0.0051399505571922575,-0.04245946504525412,0.004974768547744702,3.166931709960329,4,397.287560198852,0.997114027364208,0.013988390016723147,20-40
PercNeut,0.039279594212785644,0.006052674128767466,0.03719558232813832,0.005833385436353776,0.045028526327363504,0.005740710123445169,0.02047843230831112,0.005672928091307305,0.04434416314820821,0.0053709473153527665,3.2924438270608274,4,425.30372769939174,0.9973999240401051,0.011274001009296142,2D-20:20-40
PercMono,0.013979160360944749,0.006092430086500256,0.007031983836819507,0.0059361884110534805,0.025179432329540903,0.005879087905581497,0.015373441373895954,0.005832301139640342,0.020420916976444468,0.005311798642005046,2.453294016818867,4,609.2718891289593,0.9988710563713346,0.044838859984134165,1D-2D
PercEos,0.006081639137738254,0.009105807251705069,-0.026885021158582673,0.008897116874934776,-0.014077253098548882,0.008825911116447064,-0.008306817623853897,0.008749536089230847,0.016256072827670193,0.008007645944606854,5.916533795641718,4,659.3899400021367,0.9990842289230709,1.1098568475164281e-4,AL-1D:1D-40:2D-40
NumPlt,0.006955891316269637,0.003282113234233196,0.011389668200903685,0.0031631808696129583,0.009527796468966674,0.003125178231097896,0.00820294290206355,0.003088064221624321,0.005085986190743406,0.002851256479136314,0.7171668592849986,4,435.79707541231534,0.9975614725036275,0.5805258000845235,NA
MPV,0.004031110764790967,0.002675294230014203,-9.105403916313018e-4,0.0026667934938697075,-0.00415806661898845,0.002665004775629842,0.00132240674040232,0.002661659655055092,-0.0012479432610414504,0.0026143192866082323,11.44105283566956,4,798.5187433930795,0.9999726885435246,4.916695773847491e-9,AL-1D:AL-2D:AL-20:AL-40:1D-2D:2D-20:2D-40
MPM,0.0029533943831897965,7.318881636622743e-4,0.0029202016918564353,7.168828106115411e-4,0.003161031663391466,7.13109494621981e-4,0.0027233587836150834,7.088601235452393e-4,0.0022154709009493817,6.458222177151431e-4,0.7390287554425271,4,658.5453617034685,0.9993658897106052,0.5655570929552365,NA
PDWcv,0.004199675707959806,0.002227662013460924,-0.0014288827793936787,0.002209844190130732,-0.004322986152850771,0.0022055290505817336,0.0022710524871350354,0.002198984425033313,-0.0010109093576030322,0.0021052455372852336,6.51447537331207,4,824.4451160796679,0.9999172671832911,3.661573609492042e-5,AL-1D:AL-2D:AL-40:2D-20
