Phenotype,AL_Slope,AL_SE,1D_Slope,1D_SE,2D_Slope,2D_SE,20_Slope,20_SE,40_Slope,40_SE,DietAge_FTestStat,DietAge_FTestNumDF,DietAge_FTestDenDF,DietAge_FTestScaling,DietAge_FTestPValue,DietAge_PairwiseDifferences
NK_CD11BnegCD11CposPercNK,0.06218333221841267,0.007260180871958874,0.0678447288090548,0.0071287346745794395,0.06897128694989131,0.0071306570638473305,0.06479396675920865,0.007061551320508428,0.07620303842209515,0.0068869416465663445,2.7855001952232117,4,1513.381605273262,0.9999454061190655,0.02537115923420424,AL-40
NK_CD11BposCD11CnegPercNK,-0.03184835006671017,0.006319917130674317,-0.04084803712396791,0.006204896771306141,-0.03901061837986421,0.006206823642573407,-0.0470417716296305,0.006146973130912823,-0.058558776937372145,0.005991657769448699,14.208684123040719,4,1491.1430544524276,0.9999407742724736,2.191802728529021e-11,AL-20:AL-40:1D-40:2D-40:20-40
NK_CD11BposCD11CposPercNK,-0.003931998393626793,0.006448377362864669,0.006563656130463986,0.0063437166594885065,0.0027128402073686225,0.006345485146358976,-0.0059035358886269694,0.006291175775669129,-0.017135887962985333,0.006142603362022971,11.541407235759802,4,1471.5667368001366,0.9999447151613476,3.1488501522862982e-9,AL-40:1D-20:1D-40:2D-40:20-40
NK_CD11BnegCD11CnegPercCD62LposNK,-0.010826122248751428,0.007759798190629955,-7.109256996311072e-4,0.00751683449820491,0.0033859201257063747,0.007519937593782051,0.02203064512893937,0.007386454275488762,0.027709132169451523,0.007119514709675118,12.758670052253981,4,1517.1778247754837,0.9998872756498252,3.2358119222158524e-10,AL-20:AL-40:1D-20:1D-40:2D-40
NK_CD11BnegCD11CposPercCD62LposNK,-0.06597134306911946,0.009296943854874276,-0.05703796858097442,0.008946551097250994,-0.042787941623320884,0.008950226417458565,-0.018513413168958253,0.008754265857033003,-0.0303789539925325,0.008411173577167044,9.935051602449285,4,1523.1115997056497,0.9998543068354682,6.16683172565721e-8,AL-20:AL-40:1D-20:1D-40
NK_CD11BposCD11CnegPercCD62LposNK,-0.005467212076688141,0.006544243984592175,0.005799781159851694,0.0063459628143066014,0.003974263642217853,0.0063488437595757355,0.01721130328524544,0.00624091746554876,0.013111792820350653,0.006015416178324675,5.454422027344924,4,1488.5395400305792,0.9998838860910169,2.3271173016337266e-4,AL-20:AL-40
NK_CD11BposCD11CposPercCD62LposNK,-0.014923502613821618,0.006456010395136041,-0.00444089755632837,0.00624676845074328,0.0018101820070872518,0.006249481901790485,0.007729471848754176,0.006134374709599581,0.005829438724218412,0.00590696566099796,5.4894331655789825,4,1506.513082548581,0.9998786782508153,2.1827914919909445e-4,AL-20:AL-40
Neut_CD62LposPercNeut,-0.014218614709590547,0.01396935323731019,-0.004278163978011824,0.013818390198434194,-0.005447916837783735,0.013820136923010278,0.0018810715457712032,0.013746713169874436,0.009556214989711853,0.01355169922906792,3.648767471128228,4,1589.3136185774854,0.9999779316576579,0.005762938044620328,AL-40
Mono_ResidPercMono,-0.017963765728484977,0.00373453261360853,-0.010394935824198807,0.0035550445166603146,0.0020728792469010405,0.0035570150932380325,0.009916944069257068,0.0034551326233966864,0.02167457878748295,0.003295501988171822,35.10910936056201,4,1321.6970735965328,0.9997100067166234,6.72671670874722e-28,AL-2D:AL-20:AL-40:1D-2D:1D-20:1D-40:2D-40:20-40
Mono_InflPercMono,0.02586844843981678,0.0039594054270150085,0.020973462161102265,0.0038137946354348173,0.008621651662877414,0.0038159051172593204,0.004986666314995749,0.0037356399602258097,-0.019806655046802304,0.003580958767063529,55.080600128077805,4,1423.9000610647206,0.9998259093815504,3.167217597760105e-43,AL-2D:AL-20:AL-40:1D-2D:1D-20:1D-40:2D-40:20-40
Mono_CD11CposCD62LposPercMono,-5.716871569709034e-4,0.004771203808732545,-0.0014583694805892567,0.0046802010418305435,0.003020461744448712,0.004681564181329994,-0.004645766270736529,0.004634220912462325,-0.0056956913338919645,0.0045204962397706406,2.4797213407416483,4,1555.8716595788715,0.9999505971615709,0.04225596510191882,2D-40
Mono_OtherPercMono,-0.01732623763287885,0.004862196271005511,-0.020384836823523947,0.004760549271379022,-0.02356297569930157,0.0047622033564432825,-0.024695366357062473,0.004709024836734079,-0.013133190787838435,0.004581088301757327,4.784820037756044,4,1524.0608760157456,0.9999373993927688,7.744503548008934e-4,2D-40:20-40
